Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[1, 35, 86, 116, 176, 192, 234, 238, 278, 283, 517, 541, 542, 557, 929]",3.787,GA with SVR,15,0.2272,0.3355,0.2548,1.5016,1.184,0.493
"[6, 98, 191, 197, 243, 251, 319, 357, 363, 404, 530]",3.171,GA with SVR,11,0.0457,0.0309,0.054,1.6918,1.4286,0.4085
"[45, 120, 165, 199, 200, 210, 505, 518, 530, 571, 702]",3.0669,GA with SVR,11,0.1618,0.1287,0.1646,1.5899,1.2314,0.4648
"[65, 146, 212, 218, 310, 328, 329, 410, 436, 479, 488, 546]",3.1235,GA with SVR,12,0.308,0.2815,0.2674,1.4888,1.2016,0.4507
"[217, 240, 289, 357, 373, 439, 492, 495, 514, 542]",2.7438,GA with SVR,10,0.2246,0.3298,0.1205,1.6313,1.2257,0.493
"[15, 61, 109, 111, 230, 269, 328, 349, 360, 384, 418, 428, 429, 463, 480, 839]",4.1286,GA with SVR,16,0.1684,0.0954,0.1606,1.5937,1.2538,0.493
"[230, 269, 328, 360, 384, 418, 429, 463, 519, 839]",2.8901,GA with SVR,10,0.1496,0.0548,0.1584,1.5958,1.2536,0.4648
"[142, 152, 230, 269, 292, 328, 360, 418, 429, 463, 504, 839]",3.31,GA with SVR,12,0.1504,0.0551,0.1594,1.5948,1.2534,0.4648
"[41, 107, 162, 219, 327, 368, 384, 385, 403, 491, 526, 548, 574]",3.4507,GA with SVR,13,0.1587,0.2351,0.1582,1.596,1.3031,0.4225
"[162, 191, 340, 433, 462, 567, 678]",2.1899,GA with SVR,7,0.2259,0.1257,0.1453,1.6081,1.2918,0.4648
"[6, 59, 70, 72, 87, 101, 126, 235, 237, 277, 350, 517]",3.2507,GA with SVR,12,0.1533,0.217,0.1405,1.6127,1.3081,0.4648
"[15, 35, 72, 98, 118, 163, 248, 253, 441, 507, 513]",3.1217,GA with SVR,11,0.0909,0.0971,0.0638,1.6831,1.3329,0.4507
"[56, 88, 109, 167, 174, 178, 281, 292, 321, 367, 378, 448, 452, 479, 520, 532, 553, 648]",4.3745,GA with SVR,18,0.2583,0.389,0.2641,1.4922,1.2157,0.4507
"[30, 87, 108, 149, 296, 327, 429, 430, 443, 531, 631]",2.8366,GA with SVR,11,0.3425,0.4151,0.3432,1.4098,1.1235,0.5211
"[49, 50, 82, 93, 133, 137, 260, 363, 408, 495, 500, 560, 563, 681, 865]",3.7791,GA with SVR,15,0.2978,0.233,0.3656,1.3854,1.1279,0.493
"[80, 113, 118, 135, 204, 240, 263, 287, 384, 865]",2.7448,GA with SVR,10,0.2636,0.2571,0.2913,1.4644,1.1645,0.5211
"[2, 71, 96, 175, 307, 326, 333, 371, 429, 454, 457, 465, 821]",3.4542,GA with SVR,13,0.2215,0.1149,0.1459,1.6076,1.3171,0.3521
"[30, 40, 73, 221, 225, 250, 276, 384, 446, 460, 565, 572, 700]",3.2866,GA with SVR,13,0.3033,0.4048,0.3647,1.3864,1.1253,0.5352
"[78, 95, 119, 153, 183, 254, 332, 340, 348, 352, 410, 468, 517, 839]",3.6661,GA with SVR,14,0.2046,0.1412,0.1885,1.5669,1.3237,0.4225
"[101, 102, 145, 213, 249, 350, 419, 457, 483]",2.6005,GA with SVR,9,0.2195,0.1585,0.0657,1.6814,1.3896,0.4366
"[36, 51, 110, 136, 146, 224, 292, 314, 332, 338, 378, 424, 429, 462]",3.6762,GA with SVR,14,0.173,0.1689,0.1721,1.5827,1.2976,0.493
"[61, 120, 167, 171, 205, 253, 322, 331, 351, 372, 431, 509, 871]",3.335,GA with SVR,13,0.2659,0.3501,0.2367,1.5197,1.186,0.4789
